Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
1-Jan-23,0,16.8,29.5,57.1,98.2,0,6.8
2-Jan-23,0,7.7,26.9,39.8,95.4,0,10.8
3-Jan-23,0,13.3,31.8,29.9,83.3,0,6.7
4-Jan-23,0,14.7,30.2,49.9,94.9,0,7.2
5-Jan-23,0,15,31.4,42.8,94.9,0,9.5
6-Jan-23,0,12.6,26.8,61.7,98.7,0,11.4
7-Jan-23,0,14.7,24,73.1,98,0,9.8
8-Jan-23,0,16.4,28.3,54.6,98.2,0,10
9-Jan-23,0,17.6,28.9,55.6,92,0.3,12.4
10-Jan-23,0,9.3,29.9,28.3,88.6,0,9.3
11-Jan-23,0,9,27.9,27.4,81.7,0,9.9
12-Jan-23,0,8,27.5,29.4,79.3,0,10.7
13-Jan-23,0,12.7,32.9,29.5,87.9,0,6.4
14-Jan-23,0,14.2,31.7,35.9,89.5,0,8.3
15-Jan-23,0,14.1,30.4,45.3,96.4,0,7.5
16-Jan-23,0,15.2,28.3,53.6,97,0,11.8
17-Jan-23,0,17.3,33,38.7,85.5,0,14.5
18-Jan-23,0,17.5,32.8,38.7,93,0,13.2
19-Jan-23,0,17.3,32.8,42.2,85.5,0,9
20-Jan-23,0,17.2,32.5,39.9,86.4,0,10.8
21-Jan-23,0,17.3,32.2,38.7,86.4,2,15.2
22-Jan-23,0,16.6,32.2,38.2,80.7,0,13.9
23-Jan-23,0,15.9,32.8,37,73,0,13.3
24-Jan-23,0,18.2,31.9,39.3,77.6,0.4,14.1
25-Jan-23,0,19,31.8,35.6,69.3,0.6,19.4
26-Jan-23,0,15.9,32.2,32.7,90.2,0,17.6
27-Jan-23,0,13.8,32.7,22.7,81,0,11.2
28-Jan-23,0,15.6,31.3,42.8,89.5,0,11.7
29-Jan-23,0,15.4,31.5,45.1,86.2,0,11.9
30-Jan-23,0,18,32.8,36.4,72,0,13.7
31-Jan-23,0,17.6,31.5,46.4,85.5,0,13.9
1-Feb-23,0,16.6,30.9,49.3,82,0,11.4
2-Feb-23,0,13.7,28.7,46.4,81.1,0,12
3-Feb-23,0,10.3,29.5,24.2,55.8,0,10.9
4-Feb-23,0,11.7,30.3,26.3,59.9,0,16.7
5-Feb-23,0,9.2,31.3,25.2,57.6,0,9.7
6-Feb-23,0,10.6,32.2,19.7,70.7,0,13.6
7-Feb-23,0,18.2,32.7,23.8,69.7,0,8.9
8-Feb-23,0,15.3,33.4,34.4,80.8,0,8
9-Feb-23,0,12.1,32.5,32.7,84.3,0,13
10-Feb-23,0,12.2,34.1,22,58.9,0,11.9
11-Feb-23,0,13.6,34.5,19.9,61.2,0,12
12-Feb-23,0,13.6,36.1,20.8,84.8,0,8.8
13-Feb-23,0,12.4,32,31.3,63.2,0,13.9
14-Feb-23,0,10.4,31.8,19.5,66.2,0,7.2
15-Feb-23,0,10.9,31.8,21.1,70.2,0,12.2
16-Feb-23,0,12.1,33.6,22.4,71.3,0,9.1
17-Feb-23,0,14.6,34.1,22.7,65.6,0,11.2
18-Feb-23,0,13.4,33.2,26.8,58.8,1.3,11.1
19-Feb-23,0,16.9,33.3,30.2,69.2,0,10.9
20-Feb-23,0,16.6,33.3,28.8,81.1,0,10.5
21-Feb-23,0,19.5,35.1,22.7,64.2,0,8.4
22-Feb-23,0,17.5,37.6,22.9,60.3,0,11.4
23-Feb-23,0,16.6,37.5,19.4,59.9,0,8.1
24-Feb-23,0,16.7,37.9,17.3,65.1,0,11
25-Feb-23,0,16.5,35.6,21.3,50.6,0.5,14.1
26-Feb-23,0,17.6,35.9,19.2,55.8,0,14.3
27-Feb-23,0,18.8,35.9,19.9,55.7,0,11.3
28-Feb-23,0,19.7,36.1,24.3,56.7,0,14.4
1-Mar-23,0,20,35.9,28.4,63.9,2.1,12.1
2-Mar-23,0,19.6,35.4,26.8,68.2,0,9.3
3-Mar-23,0,19.2,35.5,30.9,63.2,0,11.4
4-Mar-23,0,20,34.3,32.3,66,0,12.7
5-Mar-23,0,20,36.7,24.3,61.2,0,15.3
6-Mar-23,0,18.4,34.1,28.8,63.2,0,12.4
7-Mar-23,0,20.1,34.5,28.1,63.1,0,14.4
8-Mar-23,0,15.8,31,36.1,70.1,0,12.9
9-Mar-23,0,16.9,32.9,26.5,60.3,0,10.1
10-Mar-23,0,20,36.6,23.6,56.2,0,9.2
11-Mar-23,0,19,34.1,26.8,58.3,0,13.3
12-Mar-23,0,19.9,35.9,24.7,65.6,0,14.1
13-Mar-23,0,21.4,35,24.7,57.2,0,11.3
14-Mar-23,0,22.4,36.8,23.6,55.7,0,8.3
15-Mar-23,0,22.7,36.4,23.6,54.7,0,10.6
16-Mar-23,0,22.3,36.9,25.7,65.1,0,14.1
17-Mar-23,0,21.5,32.3,38.2,74.5,0,16.4
18-Mar-23,0,21.8,31.6,45.7,79.5,0,16
19-Mar-23,0,18.5,28.4,59.2,94.8,0,14.2
20-Mar-23,0,18.2,32.8,36.7,90.2,0,14.9
21-Mar-23,0,22.5,33,33.8,85.1,0,10.2
22-Mar-23,0,20.6,33.8,32.3,64.2,0,8.6
23-Mar-23,0,18.9,34.1,32.3,77.5,0,14.2
24-Mar-23,0,20.4,37.9,27,68.8,0,10.9
25-Mar-23,0,23.5,37.1,30.5,75.9,0,8.7
26-Mar-23,0,25.8,36.6,39.4,78.9,0,18.1
27-Mar-23,0.8,19.8,36.2,40.1,75.8,0,12.5
28-Mar-23,0,19,38.5,21,63.2,0,9.9
29-Mar-23,0,26.5,38.1,20.8,77.5,0,13.4
30-Mar-23,0,26.2,40.3,23.8,77.5,4.8,15.2
31-Mar-23,0,22.6,40.1,23.1,81.6,0,14
1-Apr-23,0,21.5,37.6,27,66.5,0,12.1
2-Apr-23,0,19.9,37.8,26.1,51.5,0,16.8
3-Apr-23,0,24.5,38.2,23.8,59.7,0,14.7
4-Apr-23,0,26.5,37.9,25,71.8,0,8.9
5-Apr-23,0,25,39.3,23.8,63.7,0,8.7
