,Date,Minimum,Maximum,Average
0,6/1/2013,21.27272727,26,23.63636364
1,6/2/2013,21.27272727,26,23.63636364
2,6/3/2013,21.27272727,26,23.63636364
3,6/4/2013,21.27272727,26,23.63636364
4,6/5/2013,21.27272727,26,23.63636364
5,6/6/2013,21.27272727,26,23.63636364
6,6/7/2013,21.27272727,26,23.63636364
7,6/8/2013,21.27272727,26,23.63636364
8,6/9/2013,21.27272727,26,23.63636364
9,6/10/2013,21.27272727,26,23.63636364
10,6/11/2013,21.27272727,26,23.63636364
11,6/12/2013,21.27272727,26,23.63636364
12,6/13/2013,21.27272727,26,23.63636364
13,6/14/2013,21.27272727,26,23.63636364
14,6/15/2013,21.27272727,26,23.63636364
15,6/16/2013,26,32,29
16,6/17/2013,20,25,22.5
17,6/18/2013,22,26,24
18,6/19/2013,24,28,26
19,6/20/2013,22,26,24
20,6/21/2013,15,20,17.5
21,6/22/2013,21.27272727,26,23.63636364
22,6/23/2013,21.27272727,26,23.63636364
23,6/24/2013,21.27272727,26,23.63636364
24,6/25/2013,25,30,27.5
25,6/26/2013,20,25,22.5
26,6/27/2013,18,24,21
27,6/28/2013,24,28,26
28,6/29/2013,21.27272727,26,23.63636364
29,6/30/2013,18,22,20
30,7/1/2013,15,20,17.5
31,7/2/2013,15,20,17.5
32,7/3/2013,14,18,16
33,7/4/2013,14,18,16
34,7/5/2013,18,24,21
35,7/6/2013,33,37.72,35.36
36,7/7/2013,33,37.72,35.36
37,7/8/2013,33,37.72,35.36
38,7/9/2013,20,25,22.5
39,7/10/2013,30,35,32.5
40,7/11/2013,32,38,35
41,7/12/2013,44,48,46
42,7/13/2013,33,37.72,35.36
43,7/14/2013,50,55,52.5
44,7/15/2013,50,55,52.5
45,7/16/2013,48,52,50
46,7/17/2013,46,52,49
47,7/18/2013,40,45,42.5
48,7/19/2013,36,40,38
49,7/20/2013,33,37.72,35.36
50,7/21/2013,28,32,30
51,7/22/2013,28,32,30
52,7/23/2013,30,35,32.5
53,7/24/2013,32,36,34
54,7/25/2013,40,45,42.5
55,7/26/2013,40,45,42.5
56,7/27/2013,33,37.72,35.36
57,7/28/2013,40,45,42.5
58,7/29/2013,42,46,44
59,7/30/2013,38,42,40
60,7/31/2013,35,40,37.5
61,8/1/2013,34,38,36
62,8/2/2013,25,35,30
63,8/3/2013,29,34.04761905,31.52380952
64,8/4/2013,25,30,27.5
65,8/5/2013,25,30,27.5
66,8/6/2013,28,34,31
67,8/7/2013,25,30,27.5
68,8/8/2013,20,25,22.5
69,8/9/2013,29,34.04761905,31.52380952
70,8/10/2013,29,34.04761905,31.52380952
71,8/11/2013,29,34.04761905,31.52380952
72,8/12/2013,24,28,26
73,8/13/2013,25,30,27.5
74,8/14/2013,25,30,27.5
75,8/15/2013,25,32,28.5
76,8/16/2013,35,40,37.5
77,8/17/2013,29,34.04761905,31.52380952
78,8/18/2013,30,35,32.5
