Category,State/ UT Name,Brinjal-Area-2009-10,Brinjal-Production-2009-10,Brinjal-Area-2010-11,Brinjal-Production-2010-11,Brinjal-Area-2011-12,Brinjal-Production-2011-12,Brinjal-Area-2012-13,Brinjal-Production-2012-13,Brinjal-Area-2013-14,Brinjal-Production-2013-14,Brinjal-Area-2014-15 @,Brinjal-Production-2014-15 @,Cabbage-Area-2009-10,Cabbage-Production-2009-10,Cabbage-Area-2010-11,Cabbage-Production-2010-11,Cabbage-Area-2011-12,Cabbage-Production-2011-12,Cabbage-Area-2012-13,Cabbage-Production-2012-13,Cabbage-Area-2013-14,Cabbage-Production-2013-14,Cabbage-Area-2014-15 @,Cabbage-Production-2014-15 @,C.Flower-Area-2009-10,C.Flower-Production-2009-10,C.Flower-Area-2010-11,C.Flower-Production-2010-11,C.Flower-Area-2011-12,C.Flower-Production-2011-12,C.Flower-Area-2012-13,C.Flower-Production-2012-13,C.Flower-Area-2013-14,C.Flower-Production-2013-14,C.Flower-Area-2014-15 @,C.Flower-Production-2014-15 @,Okra-Area-2009-10,Okra-Production-2009-10,Okra-Area-2010-11,Okra-Production-2010-11,Okra-Area-2011-12,Okra-Production-2011-12,Okra-Area-2012-13,Okra-Production-2012-13,Okra-Area-2013-14,Okra-Production-2013-14,Okra-Area-2014-15 @,Okra-Production-2014-15 @,Peas-Area-2009-10,Peas-Production-2009-10,Peas-Area-2010-11,Peas-Production-2010-11,Peas-Area-2011-12,Peas-Production-2011-12,Peas-Area-2012-13,Peas-Production-2012-13,Peas-Area-2013-14,Peas-Production-2013-14,Peas-Area-2014-15 @,Peas-Production-2014-15 @,Tomato-Area-2009-10,Tomato-Production-2009-10,Tomato-Area-2010-11,Tomato-Production-2010-11,Tomato-Area-2011-12,Tomato-Production-2011-12,Tomato-Area-2012-13,Tomato-Production-2012-13,Tomato-Area-2013-14,Tomato-Production-2013-14,Tomato-Area-2014-15 @,Tomato-Production-2014-15 @,Onion-Area-2009-10,Onion-Production-2009-10,Onion-Area-2010-11,Onion-Production-2010-11,Onion-Area-2011-12,Onion-Production-2011-12,Onion-Area-2012-13,Onion-Production-2012-13,Onion-Area-2013-14,Onion-Production-2013-14,Onion-Area-2014-15 @,Onion-Production-2014-15 @,Potato-Area-2009-10,Potato-Production-2009-10,Potato-Area-2010-11,Potato-Production-2010-11,Potato-Area-2011-12,Potato-Production-2011-12,Potato-Area-2012-13,Potato-Production-2012-13,Potato-Area-2013-14,Potato-Production-2013-14,Potato-Area-2014-15 @,Potato-Production-2014-15 @,Sweet Potato-Area-2009-10,Sweet Potato-Production-2009-10,Sweet Potato-Area-2010-11,Sweet Potato-Production-2010-11,Sweet Potato-Area-2011-12,Sweet Potato-Production-2011-12,Sweet Potato-Area-2012-13,Sweet Potato-Production-2012-13,Sweet Potato-Area-2013-14,Sweet Potato-Production-2013-14,Sweet Potato-Area-2014-15 @,Sweet Potato-Production-2014-15 @,Tapioca-Area-2009-10,Tapioca-Production-2009-10,Tapioca-Area-2010-11,Tapioca-Production-2010-11,Tapioca-Area-2011-12,Tapioca-Production-2011-12,Tapioca-Area-2012-13,Tapioca-Production-2012-13,Tapioca-Area-2013-14,Tapioca-Production-2013-14,Tapioca-Area-2014-15 @,Tapioca-Production-2014-15 @,Others-Area-2009-10,Others-Production-2009-10,Others-Area-2010-11,Others-Production-2010-11,Others-Area-2011-12,Others-Production-2011-12,Others-Area-2012-13,Others-Production-2012-13,Others-Area-2013-14,Others-Production-2013-14,Others-Area-2014-15 @,Others-Production-2014-15 @,Total-Area-2009-10,Total-Production-2009-10,Total-Area-2010-11,Total-Production-2010-11,Total-Area-2011-12,Total-Production-2011-12,Total-Area-2012-13,Total-Production-2012-13,Total-Area-2013-14,Total-Production-2013-14,Total-Area-2014-15 @,Total-Production-2014-15 @
State,Andhra Pradesh,24.3,485,NA,NA,76.3,1524.9,80.8,1615.3,58,1160.5,17.2,381,9.1,136.1,NA,NA,28.9,433.9,5.4,81.5,3,45.4,1.8,36.2,3.6,74.9,NA,NA,1.5,22.5,1.4,21,2.2,93.5,2.9,40.1,33.5,502.1,NA,NA,80.1,1202,74.3,1113.8,44.1,661.4,18.6,211.3,0.6,20.4,NA,NA,2.4,82.4,2.9,29,2.4,23.7,0,0.1,87,1652.1,NA,NA,300.8,6015.1,260.9,5218.1,167.7,3354.5,167.7,3354.5,39,662.6,NA,NA,48.5,824.8,86.7,1560.1,55.8,1004.6,38.4,575.6,6.9,137.7,NA,NA,4.9,98.4,9.5,189.6,2.6,51.1,2.6,43.6,1.3,26.6,NA,NA,0.5,9.6,0.3,5.6,0.3,6,0.8,13.2,16.5,329.5,NA,NA,3.1,61.8,NA,NA,18.3,365.2,17,258.4,109.7,1399.1,NA,NA,114.1,1749.9,164,2270.8,85.3,1384,87.8,1531.6,331.3,5426.2,0,0,661,98.4,686.1,12104.7,439.6,8149.8,354.9,6445.6
State,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,11.6,0.4,11,0.5,12,NA,NA,NA,NA,NA,NA,0.3,7.4,0.3,5.8,0.3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,14.9,0.5,13.5,0.5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,31.7,NA,NA,4.6,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,6.8,NA,NA,1.7,43.5,0.2,3.8,0.3,4.8,0.4,5,4.2,38.5,0,0,6.3,40,1.5,37.6,1.4,35,1.7,41
State,Assam,15.9,253,NA,NA,16.5,260.1,16.8,267.9,17,270.7,17.3,286.4,29.8,614.2,NA,NA,31,641.5,31.6,652.7,31.7,656.7,30.3,873.3,20.5,351.3,NA,NA,21.3,337.4,21.7,449.3,21.7,337.6,22.1,466.4,10.9,149.7,NA,NA,11.3,154.4,11.5,169.1,11.6,171,11.9,185.7,21.2,13.2,NA,NA,22.9,18.6,21.6,16.3,31.2,26.5,31.9,27.6,16.3,379.5,NA,NA,17,397.7,17.3,402.5,17.5,408.4,17.8,518,7,19.3,NA,NA,8.1,24,8.5,30.9,7.4,28.8,8.7,33.6,86.6,589.7,NA,NA,89.4,783.4,99.8,975.3,98,700.1,99.2,1706,8.9,34.3,NA,NA,9.3,36.4,9.6,41,6,30.5,9.8,51.7,3.6,20.8,NA,NA,4.3,33.5,NA,NA,3.1,27.6,3.3,40,34.7,2144.8,NA,NA,35.2,358.7,40.4,410.2,36.1,374,43.9,563.3,255.2,4569.9,0,0,266,783.4,278.7,3415.1,281.4,3031.9,296.2,4752.1
State,Bihar,55.3,1198.6,NA,NA,56.1,1271.5,56.2,1291.5,57.5,1240.5,57.6,1141.6,38.7,689.9,NA,NA,39.6,735,39.7,778.6,40,735,39,695.3,62.2,1080.1,NA,NA,63,1155.1,63.1,1193.7,65.7,1147.8,65.7,1003.6,58.3,766.6,NA,NA,59,825.3,59.2,854.2,58.1,783.5,57.7,762.9,9.3,63.5,NA,NA,9.9,82.1,10,88.7,10.2,67.2,10.2,65.8,46.5,1043.7,NA,NA,47.2,1104.8,47.8,1126.3,47.7,1061.8,47.7,1046.4,53,972,NA,NA,53.8,1236.7,53,1107.8,54.3,1304.2,54.3,1247.3,313.6,5387.2,NA,NA,315.2,6101.7,322.5,6640.6,318.5,6536,319,6345.6,0.3,7,NA,NA,0.5,9.5,0.5,9.8,0.9,8.3,1,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.9,2698.1,NA,NA,212.8,3030.6,209.7,3234.5,157,2213.6,189.7,2150.3,836,13906.8,0,0,857,6101.7,861.8,16325.7,809.8,15097.8,842,14467.2
State,Chhattisgarh,25.2,374.5,26.7,439.5,28.5,502.9,31.2,545.7,33.1,586,33.4,606.7,13.7,227.8,14.7,257.7,15.5,282,16.6,295.5,18.6,338.6,19.3,356.4,16.1,268.9,18.4,306,18.9,330,19.6,342,21.4,395.8,21.6,412.6,23.9,217.3,25.2,249.1,25.8,252.2,26.5,269.2,27.8,430.6,28.8,325.2,10.6,96.6,10.8,99.7,10.7,118.6,NA,NA,NA,NA,NA,NA,41.3,600.6,42.9,627.9,44.6,718.5,48,762.2,50.4,814.2,53.1,886.1,9.1,160.3,11.2,174.2,13.9,222.2,18,269.3,20.1,309.5,24.1,369.4,32.6,449.8,36.4,526.3,41.2,579.2,43.4,648.6,37.9,556.4,38.5,542.8,3.6,32.4,3.7,36.7,3.6,35.6,3.7,37.8,3.4,35.8,3.4,36.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.5,1172.9,NA,NA,148.9,1541.3,173.9,1823.6,190.8,1999.1,196.5,2204.2,315.4,3601.1,190,2717.1,351.6,579.2,380.7,4993.9,403.4,5465.9,418.6,5739.5
State,Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,57.8,NA,NA,6.5,78.2,6.7,80.5,7,79.9,7.2,82,5.7,57.8,0,0,6.5,0,6.7,80.5,7,79.9,7.2,82
State,Gujarat,65.8,1143.6,72,1236.3,73.1,1270.6,76.8,1341.1,76,1477,76,1477,25.6,473.8,28.2,553.6,28.2,560.7,30.9,663.5,30.4,661.4,30.4,661.4,19.8,356.7,21.1,387.4,21.1,390.2,28.6,532.3,27.7,601.5,27.7,601.5,49.5,466.2,54.5,592.5,65.4,717.3,65.7,723.3,66,759,66,759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8,841.3,38.8,978.4,42.1,1092.5,44,1156.7,44.6,1259,44.6,1259,43.4,1078.6,62,1514.1,61.3,1562.2,28.9,704.4,72.8,1851.2,44.3,1126.5,60.1,1657,65.3,1881.8,80.7,2395.5,81.3,2499.7,73.6,2267.4,98.2,2964.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.8,1238.2,NA,NA,145.7,2060.8,181.6,2899.7,191.2,2694.7,191.2,2694.7,406.8,7255.5,341.9,7144.1,517.6,2395.5,537.6,10520.7,582.3,11571.2,578.4,11543.3
State,Haryana,13,143.2,14.6,255.2,17.8,281.5,18.3,302.9,19,400.8,18.5,296,12.2,218.3,13.8,262.4,14.1,269.8,14.8,270.4,14.8,241.1,16.7,256.2,25.7,487.7,30.3,531.9,30,584.3,30.4,492.3,30.3,526.5,30.2,475.7,15.9,118.6,18.2,145.3,18.8,139.7,18,154.1,23.5,186.3,19.8,192.9,10.6,64.3,12.7,79,13.8,91.4,15.1,107.5,15.4,108.8,14.7,104.3,22.6,379.8,27.2,392.4,27.1,417.4,27.6,400.8,29.4,627.3,27.3,666.6,18.4,330.3,22.2,453.9,27.5,589.8,27.8,604.5,30.2,672.2,28.7,667.1,23,494.8,26.8,598.2,27.8,618.9,29.5,676,30,696.5,30.1,658.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.4,1750,NA,NA,180,2075.7,178.8,2002.9,180.6,2106.4,182.4,1974.3,300.9,3987,165.8,2718.3,356.8,618.9,360.3,5011.3,373.2,5565.9,368.4,5291.5
State,Himachal Pradesh,1.1,20.5,1,25.1,1.1,25.6,1.1,23.5,1.2,26.7,1.1,23.5,4.6,144.7,4.5,144.2,4.6,148.9,4.4,149.7,4.6,153.8,4.4,149.7,2.9,56.6,3,60.7,3.1,63.2,4.4,101.7,4.5,100.1,4.4,101.7,2.4,28.1,2.4,29.6,NA,NA,2.5,30.3,2.8,34,2.5,30.3,21.7,237.3,22.8,254.2,23.2,258.4,23.7,280.2,23.9,271.1,23.7,280.2,10.1,383.8,9.9,388.4,10,400,9.9,413.7,10.4,430.8,9.9,413.7,2,33.9,2.2,35.9,2.2,36.3,2.3,39.4,2.3,43.7,2.3,39.4,16,184.4,15.3,206,16,206.2,14.4,180.6,19.2,243.3,19.2,243.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1,301.3,NA,NA,25.6,423,16.8,302,17.8,332.5,16.3,303.6,79.8,1390.7,61.1,1144.1,85.7,206.2,79.5,1521.1,86.6,1635.9,83.7,1585.4
State,Jammu & Kashmir,2.5,40.6,2.6,45.3,2,45.2,2,45.2,2,45.2,2,45.2,2.9,66.7,3.5,95.5,2.5,73.2,2.5,73.2,2.5,73.2,2.5,73.2,3.8,111.9,4.5,134.8,3.3,85.3,3.3,85.3,3.3,85.3,3.3,85.3,2.1,42.5,2.9,47.5,2.5,43,2.5,43,2.5,43,2.5,43,7.6,69.9,6.8,212.5,2.8,58.1,2.8,58.1,2.8,58.1,2.8,58.1,8.3,122.1,8.3,136.6,3.6,88.1,3.6,88.1,3.6,88.1,3.6,88.1,2.6,64.8,2.8,63.5,2.9,65.3,2.9,65.3,2.8,65.3,2.8,65.3,7.5,110.6,7.9,150.7,6.9,127.2,6.9,127.2,6.9,127.2,6.9,127.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3,745.1,NA,NA,36.7,810.1,36.7,810.1,36.7,810.1,36.7,810.1,69.8,1374.2,39.3,886.4,63.1,127.2,63.1,1395.5,63.1,1395.5,63.1,1395.5
