,Date,Minimum,Maximum,Average
0,2013-06-01,21.272727272727273,26.0,23.636363636363637
1,2013-06-02,21.272727272727273,26.0,23.636363636363637
2,2013-06-03,21.272727272727273,26.0,23.636363636363637
3,2013-06-04,21.272727272727273,26.0,23.636363636363637
4,2013-06-05,21.272727272727273,26.0,23.636363636363637
5,2013-06-06,21.272727272727273,26.0,23.636363636363637
6,2013-06-07,21.272727272727273,26.0,23.636363636363637
7,2013-06-08,21.272727272727273,26.0,23.636363636363637
8,2013-06-09,21.272727272727273,26.0,23.636363636363637
9,2013-06-10,21.272727272727273,26.0,23.636363636363637
10,2013-06-11,21.272727272727273,26.0,23.636363636363637
11,2013-06-12,21.272727272727273,26.0,23.636363636363637
12,2013-06-13,21.272727272727273,26.0,23.636363636363637
13,2013-06-14,21.272727272727273,26.0,23.636363636363637
14,2013-06-15,21.272727272727273,26.0,23.636363636363637
15,2013-06-16,26.0,32.0,29.0
16,2013-06-17,20.0,25.0,22.5
17,2013-06-18,22.0,26.0,24.0
18,2013-06-19,24.0,28.0,26.0
19,2013-06-20,22.0,26.0,24.0
20,2013-06-21,15.0,20.0,17.5
21,2013-06-22,21.272727272727273,26.0,23.636363636363637
22,2013-06-23,21.272727272727273,26.0,23.636363636363637
23,2013-06-24,21.272727272727273,26.0,23.636363636363637
24,2013-06-25,25.0,30.0,27.5
25,2013-06-26,20.0,25.0,22.5
26,2013-06-27,18.0,24.0,21.0
27,2013-06-28,24.0,28.0,26.0
28,2013-06-29,21.272727272727273,26.0,23.636363636363637
29,2013-06-30,18.0,22.0,20.0
30,2013-07-01,15.0,20.0,17.5
31,2013-07-02,15.0,20.0,17.5
32,2013-07-03,14.0,18.0,16.0
33,2013-07-04,14.0,18.0,16.0
34,2013-07-05,18.0,24.0,21.0
35,2013-07-06,33.0,37.72,35.36
36,2013-07-07,33.0,37.72,35.36
37,2013-07-08,33.0,37.72,35.36
38,2013-07-09,20.0,25.0,22.5
39,2013-07-10,30.0,35.0,32.5
40,2013-07-11,32.0,38.0,35.0
41,2013-07-12,44.0,48.0,46.0
42,2013-07-13,33.0,37.72,35.36
43,2013-07-14,50.0,55.0,52.5
44,2013-07-15,50.0,55.0,52.5
45,2013-07-16,48.0,52.0,50.0
46,2013-07-17,46.0,52.0,49.0
47,2013-07-18,40.0,45.0,42.5
48,2013-07-19,36.0,40.0,38.0
49,2013-07-20,33.0,37.72,35.36
50,2013-07-21,28.0,32.0,30.0
51,2013-07-22,28.0,32.0,30.0
52,2013-07-23,30.0,35.0,32.5
53,2013-07-24,32.0,36.0,34.0
54,2013-07-25,40.0,45.0,42.5
55,2013-07-26,40.0,45.0,42.5
56,2013-07-27,33.0,37.72,35.36
57,2013-07-28,40.0,45.0,42.5
58,2013-07-29,42.0,46.0,44.0
59,2013-07-30,38.0,42.0,40.0
60,2013-07-31,35.0,40.0,37.5
61,2013-08-01,34.0,38.0,36.0
62,2013-08-02,25.0,35.0,30.0
63,2013-08-03,29.0,34.04761904761905,31.523809523809526
64,2013-08-04,25.0,30.0,27.5
65,2013-08-05,25.0,30.0,27.5
66,2013-08-06,28.0,34.0,31.0
67,2013-08-07,25.0,30.0,27.5
68,2013-08-08,20.0,25.0,22.5
69,2013-08-09,29.0,34.04761904761905,31.523809523809526
70,2013-08-10,29.0,34.04761904761905,31.523809523809526
71,2013-08-11,29.0,34.04761904761905,31.523809523809526
72,2013-08-12,24.0,28.0,26.0
73,2013-08-13,25.0,30.0,27.5
74,2013-08-14,25.0,30.0,27.5
75,2013-08-15,25.0,32.0,28.5
76,2013-08-16,35.0,40.0,37.5
77,2013-08-17,29.0,34.04761904761905,31.523809523809526
78,2013-08-18,30.0,35.0,32.5
79,2013-08-19,35.0,40.0,37.5
80,2013-08-20,38.0,42.0,40.0
81,2013-08-21,29.0,34.04761904761905,31.523809523809526
82,2013-08-22,29.0,34.04761904761905,31.523809523809526
83,2013-08-23,40.0,44.0,42.0
84,2013-08-24,29.0,34.04761904761905,31.523809523809526
85,2013-08-25,30.0,35.0,32.5
86,2013-08-26,28.0,32.0,30.0
87,2013-08-27,28.0,32.0,30.0
88,2013-08-28,29.0,34.04761904761905,31.523809523809526
89,2013-08-29,34.0,38.0,36.0
90,2013-08-30,30.0,35.0,32.5
91,2013-08-31,29.0,34.04761904761905,31.523809523809526
92,2013-09-01,30.0,35.0,32.5
93,2013-09-02,35.0,40.0,37.5
94,2013-09-03,40.0,45.0,42.5
95,2013-09-04,40.0,45.0,42.5
96,2013-09-05,45.0,50.0,47.5
97,2013-09-06,50.0,55.0,52.5
98,2013-09-07,37.12,42.04,39.58
99,2013-09-08,50.0,56.0,53.0
100,2013-09-09,55.0,60.0,57.5
101,2013-09-10,44.0,50.0,47.0
102,2013-09-11,38.0,42.0,40.0
103,2013-09-12,36.0,42.0,39.0
104,2013-09-13,35.0,40.0,37.5
105,2013-09-14,37.12,42.04,39.58
106,2013-09-15,35.0,40.0,37.5
107,2013-09-16,32.0,38.0,35.0
108,2013-09-17,35.0,40.0,37.5
109,2013-09-18,37.12,42.04,39.58
110,2013-09-19,35.0,40.0,37.5
111,2013-09-20,35.0,40.0,37.5
112,2013-09-21,37.12,42.04,39.58
113,2013-09-22,30.0,35.0,32.5
114,2013-09-23,30.0,35.0,32.5
115,2013-09-24,30.0,35.0,32.5
116,2013-09-25,30.0,31.0,30.5
117,2013-09-26,30.0,35.0,32.5
118,2013-09-27,35.0,40.0,37.5
119,2013-09-28,37.12,42.04,39.58
120,2013-09-29,35.0,40.0,37.5
121,2013-09-30,38.0,42.0,40.0
122,2013-10-01,38.0,42.0,40.0
123,2013-10-02,40.0,45.0,42.5
124,2013-10-03,40.0,45.0,42.5
125,2013-10-04,40.0,45.0,42.5
126,2013-10-05,49.370370370370374,56.0,52.68518518518518
127,2013-10-06,65.0,75.0,70.0
128,2013-10-07,60.0,70.0,65.0
129,2013-10-08,55.0,60.0,57.5
130,2013-10-09,75.0,80.0,77.5
131,2013-10-10,75.0,80.0,77.5
132,2013-10-11,75.0,80.0,77.5
133,2013-10-12,60.0,70.0,65.0
134,2013-10-13,65.0,75.0,70.0
135,2013-10-14,65.0,75.0,70.0
136,2013-10-15,65.0,70.0,67.5
137,2013-10-16,55.0,65.0,60.0
138,2013-10-17,40.0,50.0,45.0
139,2013-10-18,49.370370370370374,56.0,52.68518518518518
140,2013-10-19,49.370370370370374,56.0,52.68518518518518
141,2013-10-20,30.0,35.0,32.5
142,2013-10-21,35.0,40.0,37.5
143,2013-10-22,30.0,35.0,32.5
144,2013-10-23,30.0,35.0,32.5
145,2013-10-24,35.0,40.0,37.5
146,2013-10-25,35.0,45.0,40.0
147,2013-10-26,49.370370370370374,56.0,52.68518518518518
148,2013-10-27,45.0,50.0,47.5
149,2013-10-28,45.0,50.0,47.5
150,2013-10-29,45.0,55.0,50.0
151,2013-10-30,45.0,50.0,47.5
152,2013-10-31,45.0,50.0,47.5
153,2013-11-01,40.0,50.0,45.0
154,2013-11-02,56.869565217391305,65.47826086956522,61.17391304347826
155,2013-11-03,56.869565217391305,65.47826086956522,61.17391304347826
156,2013-11-04,50.0,55.0,52.5
157,2013-11-05,55.0,64.0,59.5
158,2013-11-06,60.0,70.0,65.0
159,2013-11-07,70.0,80.0,75.0
160,2013-11-08,56.869565217391305,65.47826086956522,61.17391304347826
161,2013-11-09,56.869565217391305,65.47826086956522,61.17391304347826
162,2013-11-10,50.0,60.0,55.0
163,2013-11-11,50.0,60.0,55.0
164,2013-11-12,70.0,80.0,75.0
165,2013-11-13,65.0,75.0,70.0
166,2013-11-14,56.0,65.0,60.5
167,2013-11-15,54.0,60.0,57.0
168,2013-11-16,60.0,70.0,65.0
169,2013-11-17,70.0,75.0,72.5
170,2013-11-18,60.0,70.0,65.0
171,2013-11-19,56.869565217391305,65.47826086956522,61.17391304347826
172,2013-11-20,60.0,70.0,65.0
173,2013-11-21,55.0,65.0,60.0
174,2013-11-22,55.0,60.0,57.5
175,2013-11-23,56.869565217391305,65.47826086956522,61.17391304347826
176,2013-11-24,50.0,60.0,55.0
177,2013-11-25,58.0,62.0,60.0
178,2013-11-26,60.0,70.0,65.0
179,2013-11-27,60.0,70.0,65.0
180,2013-11-28,55.0,60.0,57.5
181,2013-11-29,45.0,55.0,50.0
182,2013-11-30,56.869565217391305,65.47826086956522,61.17391304347826
183,2013-12-01,45.0,50.0,47.5
184,2013-12-02,45.0,50.0,47.5
185,2013-12-03,40.0,50.0,45.0
186,2013-12-04,40.0,45.0,42.5
187,2013-12-05,25.0,30.0,27.5
188,2013-12-06,25.0,30.0,27.5
189,2013-12-07,28.708333333333332,34.041666666666664,31.375
190,2013-12-08,25.0,30.0,27.5
191,2013-12-09,25.0,30.0,27.5
192,2013-12-10,30.0,35.0,32.5
193,2013-12-11,28.0,32.0,30.0
194,2013-12-12,25.0,30.0,27.5
195,2013-12-13,25.0,30.0,27.5
196,2013-12-14,28.708333333333332,34.041666666666664,31.375
197,2013-12-15,22.0,28.0,25.0
198,2013-12-16,24.0,28.0,26.0
199,2013-12-17,28.708333333333332,34.041666666666664,31.375
200,2013-12-18,22.0,28.0,25.0
201,2013-12-19,22.0,28.0,25.0
202,2013-12-20,22.0,26.0,24.0
203,2013-12-21,28.708333333333332,34.041666666666664,31.375
204,2013-12-22,22.0,28.0,25.0
205,2013-12-23,25.0,30.0,27.5
206,2013-12-24,26.0,32.0,29.0
207,2013-12-25,28.708333333333332,34.041666666666664,31.375
208,2013-12-26,32.0,38.0,35.0
209,2013-12-27,32.0,38.0,35.0
210,2013-12-28,28.708333333333332,34.041666666666664,31.375
211,2013-12-29,32.0,36.0,34.0
212,2013-12-30,28.708333333333332,34.041666666666664,31.375
213,2013-12-31,30.0,35.0,32.5
214,2014-01-01,30.0,35.0,32.5
215,2014-01-02,30.0,35.0,32.5
216,2014-01-03,30.0,35.0,32.5
217,2014-01-04,25.041666666666668,30.125,27.583333333333332
218,2014-01-05,30.0,35.0,32.5
219,2014-01-06,30.0,35.0,32.5
220,2014-01-07,26.0,32.0,29.0
221,2014-01-08,30.0,35.0,32.5
222,2014-01-09,30.0,35.0,32.5
223,2014-01-10,30.0,35.0,32.5
224,2014-01-11,25.041666666666668,30.125,27.583333333333332
225,2014-01-12,30.0,35.0,32.5
226,2014-01-13,30.0,35.0,32.5
227,2014-01-14,30.0,35.0,32.5
228,2014-01-15,25.041666666666668,30.125,27.583333333333332
229,2014-01-16,32.0,36.0,34.0
230,2014-01-17,28.0,34.0,31.0
231,2014-01-18,25.041666666666668,30.125,27.583333333333332
232,2014-01-19,24.0,28.0,26.0
233,2014-01-20,20.0,25.0,22.5
234,2014-01-21,18.0,25.0,21.5
235,2014-01-22,15.0,20.0,17.5
236,2014-01-23,16.0,22.0,19.0
237,2014-01-24,18.0,25.0,21.5
238,2014-01-25,25.041666666666668,30.125,27.583333333333332
239,2014-01-26,18.0,20.0,19.0
240,2014-01-27,18.0,22.0,20.0
241,2014-01-28,18.0,24.0,21.0
242,2014-01-29,20.0,25.0,22.5
243,2014-01-30,25.041666666666668,30.125,27.583333333333332
244,2014-01-31,25.041666666666668,30.125,27.583333333333332
245,2014-02-01,28.08695652173913,33.17391304347826,30.630434782608695
246,2014-02-02,20.0,25.0,22.5
247,2014-02-03,30.0,35.0,32.5
248,2014-02-04,30.0,35.0,32.5
249,2014-02-05,30.0,35.0,32.5
250,2014-02-06,28.0,34.0,31.0
251,2014-02-07,30.0,35.0,32.5
252,2014-02-08,32.0,36.0,34.0
253,2014-02-09,30.0,35.0,32.5
254,2014-02-10,25.0,30.0,27.5
255,2014-02-11,25.0,30.0,27.5
256,2014-02-12,25.0,30.0,27.5
257,2014-02-13,24.0,28.0,26.0
258,2014-02-14,25.0,30.0,27.5
259,2014-02-15,28.08695652173913,33.17391304347826,30.630434782608695
260,2014-02-16,25.0,32.0,28.5
261,2014-02-17,28.0,32.0,30.0
262,2014-02-18,30.0,35.0,32.5
263,2014-02-19,28.08695652173913,33.17391304347826,30.630434782608695
264,2014-02-20,34.0,38.0,36.0
265,2014-02-21,28.0,35.0,31.5
266,2014-02-22,28.08695652173913,33.17391304347826,30.630434782608695
267,2014-02-23,25.0,30.0,27.5
268,2014-02-24,32.0,36.0,34.0
269,2014-02-25,30.0,35.0,32.5
270,2014-02-26,28.0,34.0,31.0
271,2014-02-27,28.08695652173913,33.17391304347826,30.630434782608695
272,2014-02-28,32.0,38.0,35.0
273,2014-03-01,40.95454545454545,46.68181818181818,43.81818181818182
274,2014-03-02,40.95454545454545,46.68181818181818,43.81818181818182
275,2014-03-03,50.0,60.0,55.0
276,2014-03-04,40.95454545454545,46.68181818181818,43.81818181818182
