Date,Minimum,Maximum,Average
6/16/2013,26,32,29
6/17/2013,20,25,22.5
6/18/2013,22,26,24
6/19/2013,24,28,26
6/20/2013,22,26,24
6/21/2013,15,20,17.5
6/25/2013,25,30,27.5
6/26/2013,20,25,22.5
6/27/2013,18,24,21
6/28/2013,24,28,26
6/30/2013,18,22,20
7/1/2013,15,20,17.5
7/2/2013,15,20,17.5
7/3/2013,14,18,16
7/4/2013,14,18,16
7/5/2013,18,24,21
7/9/2013,20,25,22.5
7/10/2013,30,35,32.5
7/11/2013,32,38,35
7/12/2013,44,48,46
7/14/2013,50,55,52.5
7/15/2013,50,55,52.5
7/16/2013,48,52,50
7/17/2013,46,52,49
7/18/2013,40,45,42.5
7/19/2013,36,40,38
7/21/2013,28,32,30
7/22/2013,28,32,30
7/23/2013,30,35,32.5
7/24/2013,32,36,34
7/25/2013,40,45,42.5
7/26/2013,40,45,42.5
7/28/2013,40,45,42.5
7/29/2013,42,46,44
7/30/2013,38,42,40
7/31/2013,35,40,37.5
8/1/2013,34,38,36
8/2/2013,25,35,30
8/4/2013,25,30,27.5
8/5/2013,25,30,27.5
8/6/2013,28,34,31
8/7/2013,25,30,27.5
8/8/2013,20,25,22.5
8/12/2013,24,28,26
8/13/2013,25,30,27.5
8/14/2013,25,30,27.5
8/15/2013,25,32,28.5
8/16/2013,35,40,37.5
8/18/2013,30,35,32.5
8/19/2013,35,40,37.5
8/20/2013,38,42,40
8/23/2013,40,44,42
8/25/2013,30,35,32.5
8/26/2013,28,32,30
8/27/2013,28,32,30
8/29/2013,34,38,36
8/30/2013,30,35,32.5
9/1/2013,30,35,32.5
9/2/2013,35,40,37.5
9/3/2013,40,45,42.5
9/4/2013,40,45,42.5
9/5/2013,45,50,47.5
9/6/2013,50,55,52.5
9/8/2013,50,56,53
9/9/2013,55,60,57.5
9/10/2013,44,50,47
9/11/2013,38,42,40
9/12/2013,36,42,39
9/13/2013,35,40,37.5
9/15/2013,35,40,37.5
9/16/2013,32,38,35
9/17/2013,35,40,37.5
9/19/2013,35,40,37.5
9/20/2013,35,40,37.5
9/22/2013,30,35,32.5
9/23/2013,30,35,32.5
9/24/2013,30,35,32.5
9/25/2013,30,31,30.5
9/26/2013,30,35,32.5
9/27/2013,35,40,37.5
9/29/2013,35,40,37.5
9/30/2013,38,42,40
10/1/2013,38,42,40
10/2/2013,40,45,42.5
10/3/2013,40,45,42.5
10/4/2013,40,45,42.5
10/6/2013,65,75,70
10/7/2013,60,70,65
10/8/2013,55,60,57.5
10/9/2013,75,80,77.5
10/10/2013,75,80,77.5
10/11/2013,75,80,77.5
10/12/2013,60,70,65
10/13/2013,65,75,70
10/14/2013,65,75,70
10/15/2013,65,70,67.5
10/16/2013,55,65,60
10/17/2013,40,50,45
10/20/2013,30,35,32.5
10/21/2013,35,40,37.5
10/22/2013,30,35,32.5
10/23/2013,30,35,32.5
10/24/2013,35,40,37.5
10/25/2013,35,45,40
10/27/2013,45,50,47.5
10/28/2013,45,50,47.5
10/29/2013,45,55,50
10/30/2013,45,50,47.5
10/31/2013,45,50,47.5
11/1/2013,40,50,45
11/4/2013,50,55,52.5
11/5/2013,55,64,59.5
11/6/2013,60,70,65
11/7/2013,70,80,75
11/10/2013,50,60,55
11/11/2013,50,60,55
11/12/2013,70,80,75
11/13/2013,65,75,70
11/14/2013,56,65,60.5
11/15/2013,54,60,57
11/16/2013,60,70,65
11/17/2013,70,75,72.5
11/18/2013,60,70,65
11/20/2013,60,70,65
11/21/2013,55,65,60
11/22/2013,55,60,57.5
11/24/2013,50,60,55
11/25/2013,58,62,60
11/26/2013,60,70,65
11/27/2013,60,70,65
11/28/2013,55,60,57.5
11/29/2013,45,55,50
