date,prcp,tmin,tmax,tavg
1/1/1990,,19.1,28.4,22.9
2/1/1990,0,,26.5,21.7
3/1/1990,0,16.4,26.5,21
4/1/1990,0,,27.4,20.8
5/1/1990,0,14.2,26.1,20.4
6/1/1990,0,17.1,24.2,20.4
7/1/1990,0,,20.5,18.8
8/1/1990,0,16.6,25.1,20
9/1/1990,0,15.5,,21
10/1/1990,0,15,27.7,21.2
11/1/1990,0,16,28.5,21.8
12/1/1990,0,13.2,,21.1
13-01-1990,0,11.2,27.2,18.8
14-01-1990,0,11.5,29,19.8
15-01-1990,0,11.5,30.3,21
16-01-1990,0,12.6,29.7,22.1
17-01-1990,0,,29,23.8
18-01-1990,0,13.8,,20.1
19-01-1990,0,12.2,30.7,21.3
20-01-1990,0,13,30.7,20.3
21-01-1990,0,,,23.8
22-01-1990,0,13.2,30.4,22.2
23-01-1990,0,14.7,,20.7
24-01-1990,0,14.5,29,21.5
25-01-1990,0,15.4,30.7,22.7
26-01-1990,0,14,30.4,22.7
27-01-1990,0,14.8,29.4,21.2
28-01-1990,0,14,29.7,19.2
29-01-1990,0,13.9,28.5,20.9
30-01-1990,0,14.3,30,21.4
31-01-1990,0,14.4,,22.4
1/2/1990,0,13.5,31.6,22.4
2/2/1990,0,14.5,31.9,22.4
3/2/1990,0,,29.9,21.7
4/2/1990,0,,30.5,22.8
5/2/1990,0,14,31.3,22.9
6/2/1990,0,15.9,29.7,22.3
7/2/1990,0,12.5,27.3,20.2
8/2/1990,0,16.9,28,22.3
9/2/1990,0,,28.3,22.8
10/2/1990,0,,,22.6
11/2/1990,0,17.9,28.5,22.9
12/2/1990,0,17,29.5,23.2
13-02-1990,0,,,23.1
14-02-1990,0,16.8,30.6,24.8
15-02-1990,0,19.4,31.5,24.7
16-02-1990,,20.6,31.5,25.8
17-02-1990,0,18.9,33.4,25.2
18-02-1990,0,18.8,32.6,23.9
19-02-1990,0,18.8,32.3,26.3
20-02-1990,0,18.8,31,24.8
21-02-1990,0,17.8,31,24.1
22-02-1990,0,16.4,31.9,24.3
23-02-1990,0,17.9,32.2,26.1
24-02-1990,0,18.8,31.5,25.6
25-02-1990,0,18.6,31.5,25
26-02-1990,0,19,,25.2
27-02-1990,,18.6,29.5,23.6
28-02-1990,0,20.1,,27.4
1/3/1990,0,21.4,31.5,26
2/3/1990,0,21,33.6,27.1
3/3/1990,0,20.9,31.6,25.9
4/3/1990,0,,31.5,27.1
5/3/1990,0,21,32.7,26.4
6/3/1990,0,,32.7,27.6
7/3/1990,0,21.8,32.4,26.7
8/3/1990,0,21.4,33.7,26.2
9/3/1990,0,20.5,31.5,26.3
10/3/1990,2.3,20.1,26.7,21.6
11/3/1990,1,20,28.5,23.1
12/3/1990,0,20,31.3,25.3
13-03-1990,0.3,21.5,32.7,26.4
14-03-1990,0,20.5,33.5,25.8
15-03-1990,0,21,34.6,28.1
16-03-1990,0,,32.5,25.7
17-03-1990,0,19,,24.8
18-03-1990,0,18.4,30.9,24.3
19-03-1990,0,18,32,26.2
20-03-1990,0,19.1,32.5,25.8
21-03-1990,0,20.3,33.5,26.9
22-03-1990,0,21.5,34.8,27.5
23-03-1990,0,22.1,33.8,27.8
24-03-1990,0,,,27.1
25-03-1990,0,,34.5,27.6
26-03-1990,0,21,33.9,26.9
27-03-1990,0,21,34,27.1
28-03-1990,0,,34.3,28.8
29-03-1990,0,23.4,33,27.8
30-03-1990,0,23.3,33.9,28.7
31-03-1990,0,22.1,34.4,28.5
1/4/1990,0,23,,27.8
2/4/1990,,23.6,34.2,29.1
3/4/1990,0,23.6,36.2,29.1
4/4/1990,0,,36,27.8
5/4/1990,0,22.1,34,26.3
6/4/1990,0,20.9,33.2,26.7
7/4/1990,0,,32.6,28.4
8/4/1990,,22.2,34,27.9
9/4/1990,0,22.4,34,27.8
10/4/1990,,23.2,33.1,27.1
11/4/1990,0,23.6,34.4,29.4
12/4/1990,0,23.9,32.4,27.9
13-04-1990,0,24,35.1,29.7
14-04-1990,,25.3,36.8,28.4
15-04-1990,,,35.5,29.7
16-04-1990,21.3,20,33.4,28.1
17-04-1990,8.4,21.2,32,26.7
18-04-1990,0,21.4,34.5,28.7
19-04-1990,0,22.6,34.4,28.2
20-04-1990,0,22.9,36.3,26.6
21-04-1990,0,22.1,36.3,28.7
22-04-1990,0,,36,31.3
23-04-1990,0,22.4,36.6,30.7
24-04-1990,0,24.2,36.4,30
25-04-1990,0,22.9,34.5,29.1
26-04-1990,0,22.8,,28.5
27-04-1990,182.1,22.2,35.1,29.9
28-04-1990,0,21.5,34.5,28
29-04-1990,0,,34,28.1
30-04-1990,,,33.3,27.2
1/5/1990,1.5,,33.3,26.7
2/5/1990,3,20.4,33.3,27.1
3/5/1990,0,22.6,32.3,26.1
4/5/1990,0.5,22.4,,25.6
5/5/1990,0,,33.3,27.4
