Date,Minimum,Maximum,Average
01-06-2013,21.27272727,26,23.63636364
02-06-2013,21.27272727,26,23.63636364
03-06-2013,21.27272727,26,23.63636364
04-06-2013,21.27272727,26,23.63636364
05-06-2013,21.27272727,26,23.63636364
06-06-2013,21.27272727,26,23.63636364
07-06-2013,21.27272727,26,23.63636364
08-06-2013,21.27272727,26,23.63636364
09-06-2013,21.27272727,26,23.63636364
10-06-2013,21.27272727,26,23.63636364
11-06-2013,21.27272727,26,23.63636364
12-06-2013,21.27272727,26,23.63636364
13-06-2013,21.27272727,26,23.63636364
14-06-2013,21.27272727,26,23.63636364
15-06-2013,21.27272727,26,23.63636364
16-06-2013,26,32,29
17-06-2013,20,25,22.5
18-06-2013,22,26,24
19-06-2013,24,28,26
20-06-2013,22,26,24
21-06-2013,15,20,17.5
22-06-2013,21.27272727,26,23.63636364
23-06-2013,21.27272727,26,23.63636364
24-06-2013,21.27272727,26,23.63636364
25-06-2013,25,30,27.5
26-06-2013,20,25,22.5
27-06-2013,18,24,21
28-06-2013,24,28,26
29-06-2013,21.27272727,26,23.63636364
30-06-2013,18,22,20
01-07-2013,15,20,17.5
02-07-2013,15,20,17.5
03-07-2013,14,18,16
04-07-2013,14,18,16
05-07-2013,18,24,21
06-07-2013,33,37.72,35.36
07-07-2013,33,37.72,35.36
08-07-2013,33,37.72,35.36
09-07-2013,20,25,22.5
10-07-2013,30,35,32.5
11-07-2013,32,38,35
12-07-2013,44,48,46
13-07-2013,33,37.72,35.36
14-07-2013,50,55,52.5
15-07-2013,50,55,52.5
16-07-2013,48,52,50
17-07-2013,46,52,49
18-07-2013,40,45,42.5
19-07-2013,36,40,38
20-07-2013,33,37.72,35.36
21-07-2013,28,32,30
22-07-2013,28,32,30
23-07-2013,30,35,32.5
24-07-2013,32,36,34
25-07-2013,40,45,42.5
26-07-2013,40,45,42.5
27-07-2013,33,37.72,35.36
28-07-2013,40,45,42.5
29-07-2013,42,46,44
30-07-2013,38,42,40
31-07-2013,35,40,37.5
01-08-2013,34,38,36
02-08-2013,25,35,30
03-08-2013,29,34.04761905,31.52380952
04-08-2013,25,30,27.5
05-08-2013,25,30,27.5
06-08-2013,28,34,31
07-08-2013,25,30,27.5
08-08-2013,20,25,22.5
09-08-2013,29,34.04761905,31.52380952
10-08-2013,29,34.04761905,31.52380952
11-08-2013,29,34.04761905,31.52380952
12-08-2013,24,28,26
13-08-2013,25,30,27.5
14-08-2013,25,30,27.5
15-08-2013,25,32,28.5
16-08-2013,35,40,37.5
17-08-2013,29,34.04761905,31.52380952
18-08-2013,30,35,32.5
19-08-2013,35,40,37.5
20-08-2013,38,42,40
21-08-2013,29,34.04761905,31.52380952
22-08-2013,29,34.04761905,31.52380952
23-08-2013,40,44,42
24-08-2013,29,34.04761905,31.52380952
25-08-2013,30,35,32.5
26-08-2013,28,32,30
27-08-2013,28,32,30
28-08-2013,29,34.04761905,31.52380952
29-08-2013,34,38,36
30-08-2013,30,35,32.5
31-08-2013,29,34.04761905,31.52380952
01-09-2013,30,35,32.5
02-09-2013,35,40,37.5
03-09-2013,40,45,42.5
04-09-2013,40,45,42.5
05-09-2013,45,50,47.5
06-09-2013,50,55,52.5
07-09-2013,37.12,42.04,39.58
08-09-2013,50,56,53
09-09-2013,55,60,57.5
10-09-2013,44,50,47
11-09-2013,38,42,40
12-09-2013,36,42,39
13-09-2013,35,40,37.5
14-09-2013,37.12,42.04,39.58
15-09-2013,35,40,37.5
16-09-2013,32,38,35
