Date,tempmax,tempmin,temp,humidity, prcp,Minimum,Maximum,Average
01-06-2013,26.1,20.2,22.6,89,20,21.27272727,26,23.63636364
02-06-2013,27,20.1,22.8,84.7,5,21.27272727,26,23.63636364
03-06-2013,27.1,19.9,22.5,83.3,4,21.27272727,26,23.63636364
04-06-2013,28.6,19.9,24,75.9,0,21.27272727,26,23.63636364
05-06-2013,30,21,25.2,73.1,0,21.27272727,26,23.63636364
06-06-2013,29,22,24.9,76,2.2,21.27272727,26,23.63636364
07-06-2013,29,21.9,24.4,77.3,2,21.27272727,26,23.63636364
08-06-2013,27,20.4,23.6,73.6,0,21.27272727,26,23.63636364
09-06-2013,28.1,20.4,24.1,69.1,0,21.27272727,26,23.63636364
10-06-2013,28,20.5,24,73.5,0,21.27272727,26,23.63636364
11-06-2013,27.1,21.2,23.6,78.1,1,21.27272727,26,23.63636364
12-06-2013,26.1,20.4,23,75.9,0,21.27272727,26,23.63636364
13-06-2013,29,20.4,23.9,69.2,0,21.27272727,26,23.63636364
14-06-2013,28.2,21,24.2,69.8,0.1,21.27272727,26,23.63636364
15-06-2013,29.5,20.7,24.2,70.5,0.5,21.27272727,26,23.63636364
16-06-2013,28,21.1,23.8,74.5,0.2,26,32,29
17-06-2013,27.1,20.9,23.4,76.5,0.5,20,25,22.5
18-06-2013,28.1,20.1,23.8,71.8,2.5,22,26,24
19-06-2013,29.1,20.4,24,71.8,2.8,24,28,26
20-06-2013,28.8,20.9,23.8,74,6,22,26,24
21-06-2013,29,20.4,24,74.7,5,15,20,17.5
22-06-2013,29,20.7,23.6,78.5,4,21.27272727,26,23.63636364
23-06-2013,29.1,20.3,24.3,71.1,0.3,21.27272727,26,23.63636364
24-06-2013,28.8,21,23.3,77.6,1.2,21.27272727,26,23.63636364
25-06-2013,26,20.9,23.3,78.9,0.5,25,30,27.5
26-06-2013,29.9,21,23.6,81.9,15,20,25,22.5
27-06-2013,28.1,20.4,23.8,77.9,7,18,24,21
28-06-2013,29.1,20.1,23.7,75.9,12,24,28,26
29-06-2013,28,20,23.8,71.5,0,21.27272727,26,23.63636364
30-06-2013,28.1,20.4,23.9,69.3,0,18,22,20
01-07-2013,29.1,19.7,24,70.6,0,15,20,17.5
02-07-2013,28.5,20.1,23,77.4,3,15,20,17.5
03-07-2013,26,20.1,22.3,83.2,3,14,18,16
04-07-2013,28,20,23.4,79.4,1,14,18,16
