Date,tmin,tmax,tavg,prcp
01-06-2013,20,29.4,21.8,0
02-06-2013,20,27.6,22.3,13.2
03-06-2013,19.2,27.6,22.3,5.1
04-06-2013,19.7,29.9,24.1,4.6
05-06-2013,21.2,29.9,25,0
06-06-2013,22,29.9,24.8,4.276422764
07-06-2013,19.82272727,29.9,23.8,0
08-06-2013,20.1,28.8,23,2
09-06-2013,20.1,28.4,23.8,0
10-06-2013,20.4,28.4,23.8,7.391578947
11-06-2013,18.3125,28,23.1,0
12-06-2013,20.1,27.9,22.7,1.5
13-06-2013,20,28.3,23.7,0
14-06-2013,20.5,28.3,23.7,0
15-06-2013,20,28.6,23.4,0
16-06-2013,20.6,29.2,23.3,0.5
17-06-2013,20.5,29.2,22.9,0
18-06-2013,19.7,27.7,23.1,0.5
19-06-2013,20.2,29.2,24.3,0
20-06-2013,20.3,30.2,23.2,4.276422764
21-06-2013,20,30.2,23.4,6.4
22-06-2013,20.4,29.2,22.6,4.8
23-06-2013,20.4,28.9,23.9,3.8
24-06-2013,20.5,28.9,23.3,0.3
25-06-2013,20.6,28.4,23.4,0
26-06-2013,20.9,27.8,22.4,0
27-06-2013,20.6,28.5,23.5,15.2
28-06-2013,20.1,29.8,23.3,7.4
29-06-2013,19.6,29.8,23.6,11.9
30-06-2013,19.8,28.5,23.4,0
01-07-2013,19.4,29.2,23.7,0
02-07-2013,19.8,29.2,22.6,0
03-07-2013,19.9,28.1,22.2,2.5
04-07-2013,19.9,28.3,23.4,2.5
05-07-2013,20.5,28.3,23.2,1.3
06-07-2013,20.4,29.6,23.6,0
07-07-2013,20.6,29.6,23.3,10.4
08-07-2013,20.5,28.7,23.8,0
09-07-2013,20.4,28.8,22.6,0
10-07-2013,19.5,28.8,21.3,10.9
11-07-2013,19.5,27.4,22.1,19.6
12-07-2013,20.2,26.9,22.9,3.8
13-07-2013,20.2,27.3,22.2,0
14-07-2013,20.9,27.4,23.1,5.8
15-07-2013,20.2,28.3,22.9,2.5
16-07-2013,20.9,28.3,22.2,2.8
17-07-2013,20.2,27,23,7.9
18-07-2013,19.82272727,26.6,22.1,0
19-07-2013,19.7,27,21.4,9.9
20-07-2013,19.7,27,21.3,49.3
21-07-2013,19.9,26,22.5,4.6
22-07-2013,20.1,26,22.6,0.3
23-07-2013,20.4,27.3,22.4,1
24-07-2013,20.1,27.3,22.4,1.3
25-07-2013,19.8,27.6,23.1,1
26-07-2013,20,27.6,22.6,0
27-07-2013,19.7,27.4,22.3,0
28-07-2013,20,27.4,22.3,1
29-07-2013,19.82272727,26.1,21.9,0.8
30-07-2013,18.7,26.9,22.5,0
31-07-2013,20,26.9,22,0
01-08-2013,20,26.2,22.1,0
02-08-2013,20.1,28.4,23.2,0.3
03-08-2013,20.9,28.4,22.7,0
04-08-2013,19.9,28.3,23.2,16.5
05-08-2013,19.15,28.3,22.3,0
06-08-2013,19.3,27.3,22.8,0.5
07-08-2013,20.1,28,23.4,0
08-08-2013,20.6,29.5,23.9,5.507258065
09-08-2013,20.9,29.5,23.7,0
10-08-2013,20.1,28.4,23.1,0.8
11-08-2013,20.4,28.9,23.5,0.3
12-08-2013,20.1,28.9,23.5,2
13-08-2013,19.89130435,27.8,22.9,0
14-08-2013,19.89130435,27.8,21.3,7.9
15-08-2013,19,25.1,20.7,21.3
16-08-2013,19.5,25.1,21.1,7.1
17-08-2013,19.6,25.7,22.2,11.2
18-08-2013,19.7,26.8,23.1,2.3
19-08-2013,19.6,26.8,22.6,1.5
20-08-2013,19.7,26.7,22.4,0
21-08-2013,20.1,28.4,22.7,5.6
22-08-2013,19.2,28.4,23.4,0
23-08-2013,19.9,28.3,22.1,0
24-08-2013,18.6,26.7,22.1,0.5
25-08-2013,19.5,26.7,22.4,14.5
26-08-2013,19.5,29,23.9,0.3
27-08-2013,19.9,29.7,24.2,0
28-08-2013,20.4,29.7,24.8,5.507258065
29-08-2013,21,30.3,25.2,5.507258065
30-08-2013,21.8,30.3,25.8,5.507258065
31-08-2013,21.9,30.1,24.6,1.5
01-09-2013,19.2,30.8,24.3,22.9
02-09-2013,19,31.4,23.9,79.8
03-09-2013,19.5,31.4,22.9,12.4
04-09-2013,19.4,29.6,22.9,3.8
05-09-2013,19.7,28,22.8,1.5
06-09-2013,19.7,28,23.3,3
07-09-2013,19.82272727,27.7,22.2,0
08-09-2013,19.5,25.4,21.8,3
09-09-2013,19.1,25.4,21.7,60.7
10-09-2013,19.6,25.3,22,42.9
11-09-2013,19.7,25.8,22.2,1.5
12-09-2013,19.8,26.3,22,40.1
13-09-2013,19.8,27.4,22.9,42.4
14-09-2013,20.5,27.5,23.2,27.2
15-09-2013,20.6,27.5,23,1.5
16-09-2013,20.2,28.4,23.7,0
17-09-2013,20.7,28.4,23.3,7.452863436
18-09-2013,20.5,28.8,22.9,7.452863436
19-09-2013,20.5,28.8,23.2,7.452863436
20-09-2013,20.6,28.4,22.1,0
21-09-2013,20.2,27.9,23.1,1.8
22-09-2013,19.70416667,27.9,22.8,1
23-09-2013,18.5,29,23.5,0
24-09-2013,19.4,29,23.6,7.452863436
25-09-2013,19.4,28.3,23.8,7.452863436
26-09-2013,19.5,30.4,24.7,7.452863436
27-09-2013,20,30.8,24.9,7.452863436
28-09-2013,20.9,30.8,23.4,7.452863436
29-09-2013,19.5,28.9,23.6,7.452863436
30-09-2013,19.2,28.9,22.7,7.452863436
01-10-2013,19.6,29.5,23.8,0
02-10-2013,21.1,29.5,24.2,0
03-10-2013,20.3,28.9,23.6,0
04-10-2013,18.7,29.4,23.4,5.995652174
05-10-2013,18.4,29.4,23.1,6.544052863
06-10-2013,19.2,28.6,23.8,0
07-10-2013,20.2,30,24.8,7.306037736
08-10-2013,21.1,30,23.9,6.6
09-10-2013,19.2,28.4,23.2,22.4
10-10-2013,20.4,28,23.5,0
11-10-2013,20.2,29,23.5,0
12-10-2013,18.6,29,22.7,0
13-10-2013,20,28.9,23.9,7.391578947
14-10-2013,20.6,30.8,24.9,7.391578947
15-10-2013,21.6,30.8,24.1,7.391578947
16-10-2013,21,29.2,24.5,0.8
17-10-2013,20.9,30.2,24.9,0
18-10-2013,20.5,30.5,24.8,1.3
19-10-2013,20.3,30.5,24.4,0
20-10-2013,20.1,30.4,21.9,3.3
21-10-2013,19.5,27.2,21.5,1
22-10-2013,19.5,26,21.4,3.3
23-10-2013,20,25.8,22.3,1.5
24-10-2013,20,26.4,22.6,0.8
25-10-2013,20.7,27,23.2,5.6
26-10-2013,20.7,29.4,23.4,0
27-10-2013,19.8,29.4,23.3,23.4
28-10-2013,20.5,28.4,22.6,26.9
29-10-2013,20.6,28.8,24,0
30-10-2013,21.9,28.8,23.1,3.3
31-10-2013,18.6,28.7,23.4,0
01-11-2013,19.6,29.6,24.2,0
02-11-2013,19.9,29.6,22.9,2
03-11-2013,20,29,22.9,0.8
04-11-2013,20.4,28.8,23.1,1
05-11-2013,19.1,28.8,22.4,0
06-11-2013,18.2,28.4,22.6,4.276422764
07-11-2013,19,29,23.3,7.306037736
08-11-2013,19.89130435,29,22.2,5.507258065
09-11-2013,17.3,28.2,22.2,7.452863436
10-11-2013,17.5,28.6,22.1,7.391578947
11-11-2013,18.4,28.7,22.5,0
12-11-2013,18.2,28.7,22.7,0
13-11-2013,18.5,28.6,21.8,0
14-11-2013,17.9,28,22,0
15-11-2013,15.6,28,21.4,0
16-11-2013,17.7,27.9,19.1,0
17-11-2013,17.6,26,21.3,0
18-11-2013,19.9,26.4,21.5,0
19-11-2013,16.8,29,22.4,0
20-11-2013,17.9,29,22.3,0
21-11-2013,16.5,30,22.7,0
22-11-2013,17.6,30.9,23.9,0
23-11-2013,19.9,30.9,21.9,0
24-11-2013,19,28.3,22.4,108.5
25-11-2013,20.7,28.5,22.5,0.5
26-11-2013,19.2,29.2,23.1,2.3
27-11-2013,18.8,29.2,22.7,0
28-11-2013,17.8,28.8,21.9,0
29-11-2013,17.2,28.4,21.7,0
30-11-2013,18.2,29.9,22.8,0
01-12-2013,20.1,29.9,23.1,0
02-12-2013,19.9,28.3,22.5,0
03-12-2013,18.4,28,21.9,2.347435897
04-12-2013,18.7,28,21.4,5.995652174
05-12-2013,16,27.5,21,6.544052863
06-12-2013,16,28.4,21.1,4.276422764
07-12-2013,15.7,28.4,20.2,7.306037736
08-12-2013,16.8,28,21.3,5.507258065
09-12-2013,15.9,28.7,21.2,7.452863436
10-12-2013,14.6,29.2,20.8,7.391578947
11-12-2013,14.5,29.2,21,0
12-12-2013,16.7,28.4,21.2,0
13-12-2013,18.6,27,22.3,0
14-12-2013,19.5,27.7,22.6,0
15-12-2013,16.3875,30.3,22.3,0
16-12-2013,13.6,30.3,20.3,0
17-12-2013,14,28.3,19.4,0
18-12-2013,14.3,27.1,19.7,0
19-12-2013,14.7,27.2,20.2,0
20-12-2013,14.5,28.9,20.4,0
21-12-2013,14.9,28.9,20.6,0
22-12-2013,14,28.5,20.1,0
23-12-2013,15,27.1,19.5,0
24-12-2013,15.4,25.6,19.5,0
25-12-2013,15.6,27.3,20.8,0
26-12-2013,14.9,27.3,19.9,0
27-12-2013,16.3875,27.4,20.6,0
28-12-2013,15.3,27.4,20.3,0
29-12-2013,15.7,26.6,20.1,0
30-12-2013,14.7,27.5,20.3,0
31-12-2013,14.9,27.5,20.1,0
01-01-2014,16,26.4,20.2,0
02-01-2014,20.34615385,26.4,20.1,0
03-01-2014,15,28.4,21.1,2.347435897
04-01-2014,15.4,29,21.4,5.995652174
05-01-2014,16.4,29.5,21.7,6.544052863
06-01-2014,22.34285714,30.8,22.7,4.276422764
07-01-2014,15,30.8,21.4,7.306037736
08-01-2014,15.5,29.3,20.7,5.507258065
09-01-2014,20.83448276,28,21,7.452863436
10-01-2014,17.1,29.7,22,7.391578947
11-01-2014,16.9,29.7,21.8,0
12-01-2014,19.20333333,30.6,22.5,0
13-01-2014,15.6,30.6,21.9,0
14-01-2014,17,30.5,22.4,0
15-01-2014,16.3,29.5,22.1,0
16-01-2014,18.15416667,28.6,22.3,0
17-01-2014,17.6,28.6,21.8,0
18-01-2014,16.2,28.1,21.6,0
19-01-2014,16.9,28.5,21.8,0
20-01-2014,17,28.1,20.8,0
21-01-2014,15.2,27.4,20.4,0
22-01-2014,18.15416667,27.2,20.8,0
23-01-2014,15,28.8,21.6,0
24-01-2014,18.15416667,29.5,22.5,0
25-01-2014,16.9,29.5,21.9,0
26-01-2014,15.5,29.4,21.3,0
27-01-2014,18.15416667,27.7,20.9,0
28-01-2014,18.15416667,28.2,21.1,0
29-01-2014,18.15416667,28.8,21.5,0
30-01-2014,15.9,28.8,21.7,0
31-01-2014,15.4,29.4,22,0
01-02-2014,18.15416667,29.8,22.2,0
02-02-2014,20.34615385,29.7,22.6,0
03-02-2014,15.7,31.4,23,2.347435897
04-02-2014,22.10344828,32.2,23.7,5.995652174
05-02-2014,16.4,32.6,23.8,6.544052863
06-02-2014,16.5,32.6,24.2,4.276422764
07-02-2014,16.5,32.6,23.7,7.306037736
08-02-2014,15.5,32.1,23.6,5.507258065
09-02-2014,15.7,32.7,23.6,7.452863436
10-02-2014,18.6,32.7,24.4,7.391578947
11-02-2014,17.9,32.1,24.2,0
12-02-2014,17.4,31.8,24.1,0
13-02-2014,19,31.8,24.6,0
14-02-2014,19.2,31.6,24.3,0
15-02-2014,20.2,31.6,24.7,0
16-02-2014,20.6,30.6,23.6,0
17-02-2014,19.4,32.2,25,0
18-02-2014,19.6,32.2,23.7,0
19-02-2014,19.2,30.1,23.4,0
20-02-2014,19.1,30.1,23,0
21-02-2014,19.7,30.3,23.9,0
22-02-2014,18.6,31.3,24.2,0
23-02-2014,17.1,31.6,23.5,0
24-02-2014,16.9,31.6,23.7,0
25-02-2014,19.7,30.8,23.4,0.3
26-02-2014,19.3,32,24.2,0
27-02-2014,17.6,32,24.5,0
28-02-2014,19.7,32,24.8,0
01-03-2014,19.9,31.1,23.8,0
02-03-2014,19.3,32,24.9,4.1
03-03-2014,20.2,32,23.8,0
04-03-2014,19.5,30,23.8,5.995652174
05-03-2014,23.5,31.6,24.6,6.544052863
06-03-2014,23.1,30.6,24.5,4.276422764
07-03-2014,19.9,30.6,23.8,0.5
08-03-2014,18.6,31.6,24.6,0.8
09-03-2014,18.2,31.6,24.2,0
10-03-2014,19.6,31.6,24.6,7.391578947
11-03-2014,19.4,31.6,24.2,0
12-03-2014,18.5,31.1,24.2,0
13-03-2014,16.6,31.8,24.9,2.347435897
14-03-2014,17.6,32.8,25.2,2.347435897
15-03-2014,17.1,33.1,25.6,2.347435897
16-03-2014,18.6,34.2,26.4,2.347435897
17-03-2014,18.6,34.4,26.7,2.347435897
18-03-2014,20.4,35.4,27.4,2.347435897
19-03-2014,18.7,35.4,27.1,2.347435897
20-03-2014,20.8,35.9,28.2,2.347435897
21-03-2014,22.4,35.9,27.9,2.347435897
22-03-2014,22.9,35.6,26.7,2.347435897
23-03-2014,21.9,35,28.1,2.347435897
24-03-2014,21.2,35.2,27.9,2.347435897
25-03-2014,20.5,35.3,27.6,2.347435897
26-03-2014,20.3,35.3,27.3,2.347435897
27-03-2014,19.4,34.6,26.8,2.347435897
